league	club	player	nationality	source
England	Man City	Bridge	England	fifa11
England	Man City	Boyata	Belgium	fifa11
England	Man City	Jo	Brazil	fifa11
England	Man City	Taylor	England	fifa11
England	Aston Villa	Luke Young	England	fifa11
England	Aston Villa	Bannan	Scotland	fifa11
England	Aston Villa	Lichaj	United States	fifa11
England	Aston Villa	Osbourne	England	fifa11
England	Liverpool	Agger	Denmark	fifa11
England	Liverpool	Kelly	England	fifa11
England	Liverpool	Spearing	England	fifa11
England	Liverpool	Pacheco	Spain	fifa11
England	Liverpool	Darby	England	fifa11
England	Everton	Baxter	England	fifa11
England	Everton	Gueye	France	fifa11
England	Everton	Duffy	Republic of Ireland	fifa11
England	Everton	Turner	Scotland	fifa11
England	Birmingham	Jiranek	Czech Republic	fifa11
England	Birmingham	Michel	Spain	fifa11
England	Birmingham	Valles	Spain	manual-audit
England	Blackburn	Bunn	England	fifa11
England	Blackburn	Chimbonda	France	fifa11
England	Blackburn	Hanley	Scotland	fifa11
England	Blackburn	Linganzi	Algeria	fifa11
England	Stoke City	Collins	Wales	fifa11
England	Stoke City	Sidibe	Mali	fifa11
England	Stoke City	Nash	England	fifa11
England	Stoke City	Shotton	England	fifa11
England	Fulham	Halliche	Algeria	fifa11
England	Fulham	Briggs	England	manual-audit
England	Fulham	Dikgacoi	South Africa	fifa11
England	Fulham	E. Johnson	England	fifa11
England	Sunderland	Turner	England	fifa11
England	Sunderland	Campbell	England	fifa11
England	Sunderland	Meyler	Republic of Ireland	fifa11
England	Sunderland	Healy	Northern Ireland	fifa11
England	Bolton	O'Brien	Ireland	manual-audit
England	Bolton	M. Alonso	Spain	fifa11
England	Bolton	Ward	England	fifa11
England	Bolton	S. Davis	England	fifa11
England	Wolves	Berra	Scotland	fifa11
England	Wolves	Craddock	England	fifa11
England	Wolves	Guedioura	Algeria	fifa11
England	Wolves	D. Jones	England	fifa11
England	Wolves	Mancienne	England	fifa11
England	Wigan	Pollitt	England	fifa11
England	Wigan	S. Caldwell	Scotland	fifa11
England	Wigan	McManaman	Belgium	fifa11
England	West Ham	Gabbidon	Wales	fifa11
England	West Ham	Dyer	England	fifa11
England	West Ham	McCarthy	South Africa	fifa11
England	West Ham	Jacobsen	Denmark	fifa11
England	West Ham	Kurucz	Hungary	fifa11
England	Newcastle	R. Taylor	England	fifa11
England	Newcastle	S. Campbell	England	fifa11
England	Newcastle	Gosling	England	fifa11
England	Newcastle	Vuckic	Slovenia	fifa11
England	Newcastle	Ranger	England	fifa11
England	West Brom	Cox	England	fifa11
England	West Brom	Fortune	France	fifa11
England	West Brom	Meite	Ivory Coast	fifa11
England	West Brom	Barnes	England	fifa11
England	Blackpool	Rachubka	United States	fifa11
England	Blackpool	R. Edwards	Wales	fifa11
England	Blackpool	M. Phillips	England	fifa11
England	Blackpool	B. Clarke	Republic of Ireland	fifa11
Spain	Barcelona	Valdes	Spain	fifa11
Spain	Barcelona	Alves	Brazil	fifa11
Spain	Barcelona	Puyol	Spain	fifa11
Spain	Barcelona	Pique	Spain	fifa11
Spain	Barcelona	Abidal	France	fifa11
Spain	Barcelona	Iniesta	Spain	fifa11
Spain	Barcelona	Xavi	Spain	fifa11
Spain	Barcelona	Messi	Argentina	fifa11
Spain	Barcelona	Villa	Spain	fifa11
Spain	Barcelona	Mascherano	Brazil	fifa11
Spain	Barcelona	Jeffren	Spain	fifa11
Spain	Barcelona	Busquets	Spain	fifa11
Spain	Barcelona	Pinto	Spain	fifa11
Spain	Barcelona	Maxwell	Brazil	fifa11
Spain	Barcelona	Milito	Argentina	fifa11
Spain	Barcelona	Pedro	Spain	fifa11
Spain	Barcelona	Keita	Mali	fifa11
Spain	Barcelona	Thiago	Spain	fifa11
Spain	Barcelona	Bojan	Spain	fifa11
Spain	Barcelona	Adriano	Brazil	fifa11
Spain	Real Madrid	Casillas	Spain	fifa11
Spain	Real Madrid	Ramos	Spain	fifa11
Spain	Real Madrid	Albiol	Spain	fifa11
Spain	Real Madrid	Pepe	Portugal	fifa11
Spain	Real Madrid	Marcelo	Brazil	fifa11
Spain	Real Madrid	Xabi Alonso	Spain	fifa11
Spain	Real Madrid	Di Maria	Argentina	fifa11
Spain	Real Madrid	Ronaldo	Portugal	fifa11
Spain	Real Madrid	Kaka	Brazil	fifa11
Spain	Real Madrid	Benzema	France	fifa11
Spain	Real Madrid	Higuain	Argentina	fifa11
Spain	Real Madrid	Dudek	Poland	fifa11
