club	player
Karpaty Lviv	Andriy Tkachuk
Karpaty Lviv	Oleg Golodyuk
Karpaty Lviv	Mikhail Kopolovets
Karpaty Lviv	Lucas Pérez
Karpaty Lviv	Batista
Karpaty Lviv	Sergei Kuznetsov
Karpaty Lviv	William Rocha
Karpaty Lviv	Danilo Avelar
Vorskla Poltava	Pavlo Rebenok
Vorskla Poltava	Ivan Kryvosheienko
Vorskla Poltava	Serhiy Zakarlyuka
